job_id,company_id,company_name,job_title,job_url,source,location_text,remote_policy,nyc_relevance,posted_date,job_type,salary_range,equity_range,min_experience,skills,seniority,role_family,operator_need_tags,ai_surface_tags,leadership_flag,operator_adjacent,classification_method,classification_confidence,manual_review_flag,collected_at
waas-94669,yc-29440,Rove,"Director of Software Engineering, Earn",https://www.workatastartup.com/jobs/94669,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$200K - $300K,0.50% - 1.00%,6+ years,,head,product_engineering,data_pipeline|product_analytics|model_eval_observability|gtm_analytics|infra_platform|internal_tools|reporting_bi,finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:19Z
waas-94396,yc-29440,Rove,"Director of Business Development, Earn",https://www.workatastartup.com/jobs/94396,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$150K - $250K,0.10% - 0.50%,6+ years,,head,gtm_sales_cs,gtm_analytics|reporting_bi,finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:19Z
waas-94395,yc-29440,Rove,"Product Lead, Earn",https://www.workatastartup.com/jobs/94395,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$150K - $250K,0.10% - 0.50%,6+ years,,lead,product_management,product_analytics|gtm_analytics|reporting_bi,finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:19Z
waas-91266,yc-29440,Rove,Design Engineer,https://www.workatastartup.com/jobs/91266,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$150K - $200K,0.10% - 0.50%,3+ years,React Native|TypeScript|Design systems|Figma|Next.js,mid,design,product_analytics|infra_platform,finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:19Z
waas-63606,yc-29440,Rove,Senior Backend Engineer,https://www.workatastartup.com/jobs/63606,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$150K - $225K,0.25% - 0.50%,3+ years,Git|JavaScript|Node.js|Python|TypeScript|Software Security|Next.js,senior,product_engineering,,finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:19Z
waas-97834,yc-30977,Rovi Health,Founding GTM Engineer,https://www.workatastartup.com/jobs/97834,workatastartup,"New York, United States",onsite,nyc_required,,Full-time,,,Any (new grads ok),,founding,gtm_sales_cs,workflow_automation|gtm_analytics,health_ai,,0,keyword,0.9,0,2026-07-08T02:51:22Z
waas-97833,yc-30977,Rovi Health,Senior / Staff Founding Engineer,https://www.workatastartup.com/jobs/97833,workatastartup,"New York, United States",onsite,nyc_required,,Full-time,,,8+ years,,founding,product_engineering,agent_workflows,agents|llm_applications|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:22Z
waas-93206,yc-30977,Rovi Health,Founding Engineer,https://www.workatastartup.com/jobs/93206,workatastartup,"New York, United States",onsite,nyc_required,,Full-time,$170K - $250K,0.75% - 1.50%,3+ years,,founding,product_engineering,agent_workflows,agents|llm_applications|health_ai|finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:22Z
waas-82601,yc-30036,Rulebase,AI/ML Engineer,https://www.workatastartup.com/jobs/82601,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $200K,0.20% - 1.00%,3+ years,Amazon Web Services (AWS)|Ruby on Rails|Machine Learning,mid,ai_ml_engineering,data_pipeline|agent_workflows|security_compliance|infra_platform,agents|voice_audio|finance_ai|data_ai,,1,keyword,0.9,0,2026-07-08T02:51:24Z
waas-89103,yc-30205,Scout,Founding Account Executive,https://www.workatastartup.com/jobs/89103,workatastartup,"New York, NY, US / Remote (CA, US)",hybrid,nyc_optional,,Full-time,$180K - $220K,,3+ years,,founding,gtm_sales_cs,gtm_analytics|security_compliance|reporting_bi,voice_audio|legal_ai,,0,keyword,0.9,0,2026-07-08T02:51:26Z
